model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet18,cifar100,SGDM+WD,128,0.1,0.0005,0.9,25,cosine,42,e1_prelim,508.30000000000007,72.59,72.59,0.15737610913276673,96.51,1.0408037258148193,0,25,549.0
resnet18,cifar100,SGDM+WD,128,0.1,0.02,0.9,25,cosine,42,e1_prelim,508.30000000000007,9.81,9.81,3.888801123123169,9.87,3.8465645851135255,0,25,548.7
resnet18,cifar100,SGDM+WD,128,0.1,0.001,0.9,25,cosine,42,e1_prelim,508.30000000000007,73.78,73.74,0.24606362447738647,94.012,0.9450687868118286,0,25,548.5
resnet18,cifar100,SGDM+WD,128,0.1,0.0001,0.9,25,cosine,42,e1_prelim,508.30000000000007,70.86,70.86,0.13093733856201173,96.978,1.22936643409729,0,25,572.7
resnet18,cifar100,SGDM+WD,128,0.1,0.005,0.9,25,cosine,42,e1_prelim,508.30000000000007,67.23,67.23,1.0075836867523194,72.852,1.1663481338500976,0,25,571.9
resnet18,cifar100,SGDM+WD,128,0.1,0.005,0.9,100,cosine,42,e1_prelim,1974.5500000000009,68.28,68.28,0.8265918209648132,78.236,1.1261402425765992,0,100,2005.9
resnet18,cifar100,SGDM+WD,128,0.1,0.001,0.9,100,cosine,42,e1_prelim,1974.5500000000009,77.28,77.16,0.0208688450551033,99.926,0.9027736615180969,0,100,2041.9
resnet18,cifar100,SGDM+WD,128,0.1,0.0005,0.9,100,cosine,42,e1_prelim,1974.5500000000009,76.73,76.49,0.011125114405751228,99.96,0.9464724976539611,0,100,2042.4
resnet18,cifar100,SGDM+WD,128,0.1,0.0001,0.9,100,cosine,42,e1_prelim,1974.5500000000009,74.83,74.77,0.004126019022539258,99.978,1.1615771667480468,0,100,2102.0
resnet18,cifar100,SGDM+WD,128,0.1,0.02,0.9,100,cosine,42,e1_prelim,1974.5500000000009,3.8,1.0,4.60546875,0.99,4.6051702987670895,0,100,1986.0
resnet18,cifar100,SGDM+WD,128,0.1,0.0001,0.9,200,cosine,42,e1_prelim,3929.5499999999997,75.7,75.58,0.0030754958890378474,99.976,1.0238886505126954,0,200,2990.8
resnet18,cifar100,SGDM+WD,128,0.1,0.0005,0.9,200,cosine,42,e1_prelim,3929.5499999999997,78.48,78.27,0.008924411504268646,99.984,0.8757058549880982,0,200,3540.6
resnet18,cifar100,SGDM+WD,128,0.1,0.005,0.9,200,cosine,42,e1_prelim,3929.5499999999997,68.09,67.95,0.8210971454238891,78.698,1.1466020259857177,0,200,3627.0
resnet18,cifar100,SGDM+WD,128,0.1,0.001,0.9,200,cosine,42,e1_prelim,3929.5499999999997,78.66,78.66,0.016346335639953614,99.972,0.881973973941803,0,200,3629.3
resnet18,cifar100,SGDM+WD,128,0.1,0.02,0.9,200,cosine,42,e1_prelim,3929.5499999999997,3.54,1.0,4.60546875,1.0,4.605170141601563,0,200,2930.3
resnet18,cifar100,SGDM+WD,128,0.1,0.0002,0.9,25,cosine,42,e1_fine,508.30000000000007,70.76,70.71,0.12436006580352783,97.242,1.1964062282562256,0,25,532.5
resnet18,cifar100,SGDM+WD,128,0.1,0.002,0.9,25,cosine,42,e1_fine,508.30000000000007,73.4,73.4,0.4570117856216431,87.97,0.9409812631607055,0,25,531.2
resnet18,cifar100,SGDM+WD,128,0.1,0.01,0.9,25,cosine,42,e1_fine,508.30000000000007,47.48,47.48,2.084311857147217,46.832,2.010654010391235,0,25,534.2
resnet18,cifar100,SGDM+WD,128,0.1,0.0005,0.9,50,cosine,42,e1_fine,997.0500000000002,74.91,74.89,0.02378905207633972,99.826,0.9997750709533691,0,50,1009.4
resnet18,cifar100,SGDM+WD,128,0.1,0.0001,0.9,50,cosine,42,e1_fine,997.0500000000002,72.25,72.19,0.010438284201323986,99.906,1.3531972688674927,0,50,1023.9
resnet18,cifar100,SGDM+WD,128,0.1,0.002,0.9,50,cosine,42,e1_fine,997.0500000000002,74.82,74.82,0.16771540294647216,96.992,0.9230642254829406,0,50,1026.4
resnet18,cifar100,SGDM+WD,128,0.1,0.001,0.9,50,cosine,42,e1_fine,997.0500000000002,75.9,75.9,0.053207470924854276,99.456,0.9189098934173584,0,50,1089.5
resnet18,cifar100,SGDM+WD,128,0.1,0.005,0.9,50,cosine,42,e1_fine,997.0500000000002,68.29,68.29,0.8578615569686889,77.018,1.1130632785797119,0,50,1088.4
resnet18,cifar100,SGDM+WD,128,0.1,0.0002,0.9,50,cosine,42,e1_fine,997.0500000000002,73.59,73.49,0.013836210444569588,99.902,1.193987961578369,0,50,1091.1
resnet18,cifar100,SGDM+WD,128,0.1,0.01,0.9,50,cosine,42,e1_fine,997.0500000000002,46.11,46.11,2.0781638692474367,46.838,2.025686753845215,0,50,1003.0
resnet18,cifar100,SGDM+WD,128,0.1,0.02,0.9,50,cosine,42,e1_fine,997.0500000000002,6.99,6.91,4.088870429611206,6.718,4.061255342102051,0,50,1018.8
resnet18,cifar100,SGDM+WD,128,0.1,0.0002,0.9,100,cosine,42,e1_fine,1974.5500000000009,75.56,75.45,0.0061056745932996275,99.966,1.0353249617576599,0,100,1780.5
resnet18,cifar100,SGDM+WD,128,0.1,0.002,0.9,100,cosine,42,e1_fine,1974.5500000000009,76.06,75.95,0.061495751719474794,99.578,0.9209794258117676,0,100,1565.1
resnet18,cifar100,SGDM+WD,128,0.1,0.01,0.9,100,cosine,42,e1_fine,1974.5500000000009,42.07,42.07,2.268477921524048,42.844,2.2217486612319948,0,100,1633.1
resnet18,cifar100,SGDM+WD,128,0.1,0.0002,0.9,200,cosine,42,e1_fine,3929.5499999999997,76.79,76.65,0.004579385840892792,99.984,0.9500595394134521,0,200,2809.5
