model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
mlp,cifar10,SGD+WD,128,0.1,0.002,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,57.78,57.59,0.0649976808655262,99.916,1.6298783136367798,0,100,539.2
mlp,cifar10,SGD+WD,128,0.1,0.003,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,58.0,57.7,0.1014290019941329,99.556,1.526492286491394,0,100,548.7
mlp,cifar10,SGD+WD,128,0.1,0.005,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,58.13,57.79,0.1989924211168289,97.862,1.3983699657440185,0,100,551.4
mlp,cifar10,SGD+WD,128,0.1,0.001,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,57.55,57.32,0.034146422381401,99.992,1.8041928855896,0,100,574.9
mlp,cifar10,SGD+WD,128,0.1,0.01,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,58.15,58.07,0.5768913143730163,85.38,1.2127090454101563,0,100,495.4
mlp,cifar10,SGD+WD,128,0.1,0.02,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,55.59,55.41,1.077780446548462,64.6,1.271899189567566,0,100,604.8
mlp,cifar10,SGD+WD,128,0.1,0.0075,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,57.91,57.91,0.3800130343437194,92.628,1.2687733240127563,0,100,676.2
mlp,cifar10,SGDM+WD,128,0.1,0.0001,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,51.9,51.53,0.1911850503587722,93.216,3.250300274658203,0,100,712.5
mlp,cifar10,SGDM+WD,128,0.1,0.0003,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,55.33,55.19,0.0304395693939924,99.746,2.545758707809448,0,100,469.2
mlp,cifar10,SGDM+WD,128,0.1,0.0006,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,56.02,55.96,0.0465894987159967,99.642,2.170906842041016,0,100,480.7
mlp,cifar10,SGDM+WD,128,0.1,0.001,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,56.86,56.66,0.0975772043347358,98.58,1.8615781562805176,0,100,484.7
mlp,cifar10,SGDM+WD,128,0.1,0.002,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,56.42,56.34,0.2824932876491546,93.112,1.5201974609375,0,100,483.4
mlp,cifar10,SGDM+WD,128,0.1,0.003,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,56.15,56.06,0.424728856639862,88.544,1.4018643123626708,0,100,464.3
mlp,cifar10,SGDM+WD,128,0.1,0.005,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,52.2,52.2,0.8270821786880493,72.486,1.3925593393325806,0,100,438.0
mlp,cifar10,SGDM+WD,128,0.1,0.001417,0.9,100,cosine,42,linear,e12_matched,1974.55,55.07,54.94,0.0624843816494941,98.912,2.6982480884552,0,100,520.1
mlp,cifar10,SGDM+WD,128,0.1,0.0004724,0.9,100,cosine,42,linear,e12_matched,1974.55,54.71,54.48,0.0356817761367559,99.348,3.323786032485962,0,100,522.5
mlp,cifar10,SGDM+WD,128,0.1,0.0001936,0.9,100,cosine,42,iso_product,e12_matched,1974.55,57.01,57.01,0.1246244486641883,99.1,1.5365307537078858,0,100,548.9
mlp,cifar10,SGDM+WD,128,0.1,0.001132,0.9,100,cosine,42,linear_up,e12_matched,1974.55,57.31,57.23,0.0579993239927291,99.79,1.7860329528808594,0,100,558.4
mlp,cifar10,SGDM+WD,128,0.1,0.005095,0.9,100,cosine,42,linear_up,e12_matched,1974.55,58.8,58.44,0.4540609337520599,88.246,1.2667085750579834,0,100,559.2
mlp,cifar10,SGDM+WD,128,0.1,0.0005809,0.9,100,cosine,42,iso_product,e12_matched,1974.55,58.67,58.67,0.4721304483032226,88.292,1.2228789722442628,0,100,566.0
mlp,cifar10,SGDM+WD,128,0.1,0.002126,0.9,100,cosine,42,linear,e12_matched,1974.55,55.71,55.61,0.1279238980197906,96.702,2.3592290225982664,0,100,566.8
mlp,cifar10,SGDM+WD,128,0.1,0.003397,0.9,100,cosine,42,linear_up,e12_matched,1974.55,58.66,58.59,0.2590521598005295,95.078,1.3720672103881837,0,100,602.7
mlp,cifar10,SGDM+WD,128,0.1,0.0008713,0.9,100,cosine,42,iso_product,e12_matched,1974.55,58.46,58.46,0.719510044555664,78.412,1.19288321723938,0,100,517.2
mlp,cifar10,SGDM+WD,128,0.1,0.006794,0.9,100,cosine,42,linear_up,e12_matched,1974.55,57.99,57.96,0.6108831032943726,82.25,1.224166208076477,0,100,522.8
mlp,cifar10,SGDM+WD,128,0.1,0.002834,0.9,100,cosine,42,linear,e12_matched,1974.55,54.55,54.42,0.1907066532421112,94.408,2.1661598625183105,0,100,538.3
mlp,cifar10,SGDM+WD,128,0.1,0.003543,0.9,100,cosine,42,linear,e12_matched,1974.55,55.18,54.99,0.2475882514858245,92.532,1.972681744003296,0,100,561.3
mlp,cifar10,SGDM+WD,128,0.1,0.001452,0.9,100,cosine,42,iso_product,e12_matched,1974.55,56.42,56.28,1.009491186981201,66.914,1.2454149072647094,0,100,565.1
mlp,cifar10,SGDM+WD,128,0.1,0.001162,0.9,100,cosine,42,iso_product,e12_matched,1974.55,57.57,57.42,0.891029000415802,71.706,1.2147941932678223,0,100,575.7
mlp,cifar10,SGDM+WD,128,0.1,0.008492,0.9,100,cosine,42,linear_up,e12_matched,1974.55,58.01,57.89,0.730724261379242,77.866,1.217686820793152,0,100,577.9
mlp,cifar10,SGDM+WD,128,0.1,0.01019,0.9,100,cosine,42,linear_up,e12_matched,1974.55,57.01,56.99,0.8304770625305176,73.792,1.2268724586486817,0,100,590.0
mlp,cifar10,SGDM+WD,128,0.1,0.001743,0.9,100,cosine,42,iso_product,e12_matched,1974.55,55.75,55.67,1.0966152394866944,63.584,1.274046724510193,0,100,476.5
mlp,cifar10,SGDM+WD,128,0.1,0.004252,0.9,100,cosine,42,linear,e12_matched,1974.55,53.96,53.67,0.3267954214668274,89.602,1.9250214241027832,0,100,514.1
mlp,cifar10,SGDM+WD,128,0.1,0.01359,0.9,100,cosine,42,linear_up,e12_matched,1974.55,56.54,56.52,0.9677779693603517,68.554,1.2445416732788086,0,100,500.2
mlp,cifar10,SGDM+WD,128,0.1,0.005669,0.9,100,cosine,42,linear,e12_matched,1974.55,50.42,50.24,0.4902590277481079,84.192,1.7791797916412353,0,100,493.9
mlp,cifar10,SGDM+WD,128,0.1,0.002324,0.9,100,cosine,42,iso_product,e12_matched,1974.55,53.71,53.71,1.228374966506958,58.286,1.334687967300415,0,100,495.1
mlp,cifar10,SGD+WD,128,0.1,0.04252,0.0,100,cosine,42,linear,e12_matched,1974.55,56.29,56.0,0.8179591966438293,73.326,1.256565454673767,0,100,487.6
mlp,cifar10,SGD+WD,128,0.1,0.01162,0.0,100,cosine,42,iso_product,e12_matched,1974.55,52.06,36.85,1.804341460037232,36.878,1.8026877367019647,0,100,500.7
mlp,cifar10,SGD+WD,128,0.1,0.03397,0.0,100,cosine,42,linear_up,e12_matched,1974.55,54.86,54.4,1.191167206993103,60.682,1.3162591335296632,0,100,503.9
mlp,cifar10,SGD+WD,128,0.1,0.01417,0.0,100,cosine,42,linear,e12_matched,1974.55,56.84,56.59,0.2100545447254181,96.516,1.4936179536819458,0,100,503.9
mlp,cifar10,SGD+WD,128,0.1,0.06794,0.0,100,cosine,42,linear_up,e12_matched,1974.55,53.49,46.2,1.537145273513794,47.218,1.5523041845321657,0,100,507.4
mlp,cifar10,SGD+WD,128,0.1,0.02834,0.0,100,cosine,42,linear,e12_matched,1974.55,56.78,56.68,0.5691882061386109,83.458,1.2861524660110473,0,100,511.3
mlp,cifar10,SGD+WD,128,0.1,0.005809,0.0,100,cosine,42,iso_product,e12_matched,1974.55,55.27,47.67,1.501679128112793,48.874,1.522383127593994,0,100,513.1
mlp,cifar10,SGD+WD,128,0.1,0.1019,0.0,100,cosine,42,linear_up,e12_matched,1974.55,52.66,40.3,1.7120492333984374,40.208,1.71287022895813,0,100,515.4
mlp,cifar10,SGD+WD,128,0.1,0.02324,0.0,100,cosine,42,iso_product,e12_matched,1974.55,48.96,24.18,2.071650244216919,23.868,2.069864251708984,0,100,466.4
mlp,cifar10,SGD+WD,128,0.1,0.08503,0.0,100,cosine,42,linear,e12_matched,1974.55,53.81,53.77,1.163597202758789,59.742,1.323152416229248,0,100,503.3
mlp,cifar10,SGD+WD,128,0.1,0.1359,0.0,100,cosine,42,linear_up,e12_matched,1974.55,52.06,36.07,1.825515986289978,36.118,1.8238680093765256,0,100,519.4
mlp,cifar10,SGD+WD,128,0.1,0.2038,0.0,100,cosine,42,linear_up,e12_matched,1974.55,51.8,27.92,1.97995029296875,28.186,1.9789830295562745,0,100,512.9
mlp,cifar10,SGD+WD,128,0.1,0.05669,0.0,100,cosine,42,linear,e12_matched,1974.55,55.03,54.89,0.9874845380401612,66.568,1.2798033393859862,0,100,517.0
mlp,cifar10,SGD+WD,128,0.1,0.3057,0.0,100,cosine,42,linear_up,e12_matched,1974.55,51.14,23.76,2.122189472503662,23.388,2.120593453598022,0,100,518.4
mlp,cifar10,SGD+WD,128,0.1,0.01743,0.0,100,cosine,42,iso_product,e12_matched,1974.55,50.02,28.67,1.963862905273437,28.908,1.963153727531433,0,100,572.4
mlp,cifar10,SGD+WD,128,0.1,0.03485,0.0,100,cosine,42,iso_product,e12_matched,1974.55,46.16,16.43,2.208024335861206,16.672,2.2079582439422607,0,100,565.7
mlp,cifar10,SGD+WD,128,0.1,0.1276,0.0,100,cosine,42,linear,e12_matched,1974.55,50.89,50.87,1.3139005871200562,53.986,1.394560471343994,0,100,525.9
mlp,cifar10,SGD+WD,128,0.1,0.05228,0.0,100,cosine,42,iso_product,e12_matched,1974.55,42.97,10.0,2.302734375,10.0,2.302585015487671,0,100,507.8
mlp,cifar10,SGD+WD,128,0.1,0.2126,0.0,100,cosine,42,linear,e12_matched,1974.55,44.98,44.98,1.515998641052246,45.894,1.5415189922332764,0,100,525.2
mlp,cifar10,SGD+WD,128,0.1,0.08713,0.0,100,cosine,42,iso_product,e12_matched,1974.55,36.98,10.0,2.302734375,10.0,2.302585179901123,0,100,536.6
mlp,cifar10,SGD+WD,128,0.1,0.5095,0.0,100,cosine,42,linear_up,e12_matched,1974.55,50.25,16.1,2.245284648590088,16.156,2.2451464115142823,0,100,545.6
mlp,mnist,SGD+WD,128,0.1,0.005,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.05,97.96,0.0555523072262605,98.93833333333332,0.0753501468203961,0,100,677.7
mlp,mnist,SGDM+WD,128,0.1,0.0003,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.76,98.63,0.0025651427029321,100.0,0.0432931273099733,0,100,701.9
mlp,mnist,SGD+WD,128,0.1,0.01,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,97.38,97.33,0.1029946335713068,97.75666666666666,0.1103936265259981,0,100,702.7
mlp,mnist,SGD+WD,128,0.1,0.002,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.38,98.36,0.0206393006980419,99.84833333333331,0.0544283971075899,0,100,705.8
mlp,mnist,SGD+WD,128,0.1,0.02,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,95.82,95.75,0.1779067523638407,95.895,0.1754073531746864,0,100,719.3
mlp,mnist,SGD+WD,128,0.1,0.001,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.38,98.37,0.0097008914873003,99.98666666666666,0.0501164070697967,0,100,748.7
mlp,mnist,SGD+WD,128,0.1,0.003,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.25,98.17,0.0324413470546404,99.56166666666668,0.0607766075259074,0,100,748.3
mlp,mnist,SGDM+WD,128,0.1,0.002,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.58,98.53,0.0199283711443344,99.86,0.0496132728320546,0,100,753.9
mlp,mnist,SGDM+WD,128,0.1,0.0001,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.72,98.56,0.0008576112229997,100.0,0.0479843068267655,0,100,777.0
mlp,mnist,SGDM+WD,128,0.1,0.001,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.62,98.54,0.0090455269654591,99.98833333333332,0.0442316650320775,0,100,779.1
mlp,mnist,SGD+WD,128,0.1,0.0075,0.0,100,cosine,42,fixed,e12_fixed,2368.4500000000003,97.73,97.66,0.0807730744640032,98.32166666666669,0.0929608098790049,0,100,782.4
mlp,mnist,SGDM+WD,128,0.1,0.0006,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.7,98.68,0.0052714257853726,99.99666666666668,0.0428277070428943,0,100,796.8
mlp,mnist,SGDM+WD,128,0.1,0.003,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.44,98.29,0.03220482066075,99.58166666666666,0.0573425619505345,0,100,500.5
mlp,mnist,SGDM+WD,128,0.1,0.005,0.9,100,cosine,42,fixed,e12_fixed,2368.4500000000003,98.02,97.94,0.0559815176447232,98.91666666666669,0.073768097794801,0,100,484.0
mlp,mnist,SGDM+WD,128,0.1,5.809e-05,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.67,98.58,0.0051447656611601,99.99833333333332,0.0471946580267278,0,100,665.0
mlp,mnist,SGDM+WD,128,0.1,0.001529,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.6,98.52,0.0124585335115591,99.975,0.047122970122192,0,100,683.5
mlp,mnist,SGDM+WD,128,0.1,0.0001743,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.66,98.46,0.0165628595193227,99.94166666666666,0.0497569054512307,0,100,686.7
mlp,mnist,SGDM+WD,128,0.1,0.0001417,0.9,100,cosine,42,linear,e12_matched,2368.45,98.74,98.67,0.0003170203030264,100.0,0.0530695477997591,0,100,691.8
mlp,mnist,SGDM+WD,128,0.1,0.001019,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.73,98.64,0.0079301069080829,99.995,0.0436380200388841,0,100,698.3
mlp,mnist,SGDM+WD,128,0.1,0.0003397,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.68,98.58,0.0025217050114025,100.0,0.0453203593210782,0,100,703.8
mlp,mnist,SGDM+WD,128,0.1,0.0002614,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.6,98.4,0.0259645248919725,99.75666666666666,0.0541393609626218,0,100,711.5
mlp,mnist,SGDM+WD,128,0.1,0.002038,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.57,98.48,0.0171589786152044,99.92833333333331,0.0492688509966246,0,100,724.1
mlp,mnist,SGDM+WD,128,0.1,0.0003485,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.58,98.29,0.0358220056990782,99.54333333333334,0.0605380634982138,0,100,726.1
mlp,mnist,SGDM+WD,128,0.1,0.0004252,0.9,100,cosine,42,linear,e12_matched,2368.45,98.77,98.68,0.0007878998438517,100.0,0.0443588673787649,0,100,741.2
mlp,mnist,SGDM+WD,128,0.1,0.0006378,0.9,100,cosine,42,linear,e12_matched,2368.45,98.76,98.72,0.0010688988626003,100.0,0.0435940888110824,0,100,761.5
mlp,mnist,SGDM+WD,128,0.1,0.0008503,0.9,100,cosine,42,linear,e12_matched,2368.45,98.71,98.71,0.0013569574297095,100.0,0.0440604323799139,0,100,783.4
mlp,mnist,SGDM+WD,128,0.1,0.002548,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.57,98.48,0.0221881678154071,99.83333333333331,0.0518411541044712,0,100,655.2
mlp,mnist,SGDM+WD,128,0.1,0.004076,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.36,98.28,0.0382696659127871,99.46166666666667,0.0621327739927917,0,100,620.7
mlp,mnist,SGDM+WD,128,0.1,0.0005228,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.41,98.12,0.0556744779308637,98.975,0.0732346204146742,0,100,636.4
mlp,mnist,SGDM+WD,128,0.1,0.001063,0.9,100,cosine,42,linear,e12_matched,2368.45,98.71,98.65,0.0016118464152018,100.0,0.0424449209781276,0,100,658.9
mlp,mnist,SGDM+WD,128,0.1,0.001276,0.9,100,cosine,42,linear,e12_matched,2368.45,98.68,98.67,0.0019057740887006,99.99833333333332,0.0429318220220098,0,100,646.1
mlp,mnist,SGDM+WD,128,0.1,0.0004357,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.39,98.2,0.0459389295955499,99.23833333333332,0.0665623434744775,0,100,661.5
mlp,mnist,SGDM+WD,128,0.1,0.003057,0.9,100,cosine,42,linear_up,e12_matched,2368.45,98.53,98.41,0.0274881071497996,99.73,0.0551939731622114,0,100,657.3
mlp,mnist,SGDM+WD,128,0.1,0.001701,0.9,100,cosine,42,linear,e12_matched,2368.45,98.76,98.7,0.0024429804166158,99.99833333333332,0.0425307966060529,0,100,657.6
mlp,mnist,SGDM+WD,128,0.1,0.0006971,0.9,100,cosine,42,iso_product,e12_matched,2368.45,98.25,97.82,0.0737416859785715,98.50833333333334,0.0863552542850375,0,100,669.1
mlp,mnist,SGD+WD,128,0.1,0.005669,0.0,100,cosine,42,linear,e12_matched,2368.45,98.36,98.32,0.0173416027873754,99.80666666666669,0.0529000948354136,0,100,821.4
mlp,mnist,SGD+WD,128,0.1,0.001162,0.0,100,cosine,42,iso_product,e12_matched,2368.45,98.32,97.49,0.0983301927804947,98.115,0.1093740797370672,0,100,825.6
mlp,mnist,SGD+WD,128,0.1,0.008503,0.0,100,cosine,42,linear,e12_matched,2368.45,98.29,98.24,0.0268596814930439,99.53,0.0568788133984431,0,100,831.6
mlp,mnist,SGD+WD,128,0.1,0.004647,0.0,100,cosine,42,iso_product,e12_matched,2368.45,97.78,93.29,0.3061316186110178,93.24,0.2949517041683197,0,100,835.2
mlp,mnist,SGD+WD,128,0.1,0.002834,0.0,100,cosine,42,linear,e12_matched,2368.45,98.47,98.41,0.0083153929109374,99.97166666666666,0.0490487290043151,0,100,850.2
mlp,mnist,SGD+WD,128,0.1,0.006794,0.0,100,cosine,42,linear_up,e12_matched,2368.45,98.34,97.95,0.0571107275466124,99.02,0.0777947250641882,0,100,854.9
mlp,mnist,SGD+WD,128,0.1,0.01134,0.0,100,cosine,42,linear,e12_matched,2368.45,98.19,98.15,0.0358504824956258,99.26833333333332,0.0614861861059442,0,100,861.2
mlp,mnist,SGD+WD,128,0.1,0.002324,0.0,100,cosine,42,iso_product,e12_matched,2368.45,98.18,95.93,0.1802411578337351,96.135,0.1780139344632625,0,100,861.2
mlp,mnist,SGD+WD,128,0.1,0.02717,0.0,100,cosine,42,linear_up,e12_matched,2368.45,98.05,95.76,0.1916651156187057,95.80333333333331,0.1878931505441665,0,100,863.8
mlp,mnist,SGD+WD,128,0.1,0.02038,0.0,100,cosine,42,linear_up,e12_matched,2368.45,98.12,96.44,0.1527539169549942,96.71166666666667,0.1531174812316894,0,100,872.4
