method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM,128,0.15,0.0,0.1,73.28,0.0034627171492576598,73.47
SGDM,128,0.1,0.0,0.1,73.3,0.004006995646655559,73.34
SGDM,128,0.2,0.0,0.1,73.13,0.003033386523723602,73.42
SGDM,128,0.05,0.0,0.2,72.57,0.005534030587524176,72.78
SGDM,128,0.05,0.0,0.1,72.84,0.006174341860413551,72.93
SGDM,128,0.1,0.0,0.2,73.39,0.003917888371944427,73.65
SGDM,128,0.3,0.0,0.1,72.96,0.002744555549919605,73.44
SGDM,128,0.4,0.0,0.1,71.46,0.002633123765066266,71.47
SGDM,128,0.25,0.0,0.1,73.38,0.002858219518661499,73.59
SGDM,128,0.5,0.0,0.1,71.98,0.002314169549867511,72.08
SGDM,128,0.15,0.0,0.2,73.04,0.003214506547451019,73.08
SGDM,128,0.4,0.0,0.2,71.77,0.0025498626424372197,71.89
SGDM,128,0.1,0.0,0.3,73.41,0.003519166543483734,73.53
SGDM,128,0.15,0.0,0.3,73.39,0.003093402383327484,73.43
SGDM,128,0.05,0.0,0.3,72.75,0.0051526049092411996,72.93
SGDM,128,0.25,0.0,0.2,72.74,0.0026804326439648866,73.0
SGDM,128,0.5,0.0,0.2,71.85,0.0020560893869027495,72.16
SGDM,128,0.2,0.0,0.2,73.57,0.0029030046898126604,73.66
SGDM,128,0.3,0.0,0.2,72.35,0.0027076044250279666,72.51
SGDM,128,0.2,0.0,0.3,72.57,0.002522950069606304,73.0
SGDM,128,0.25,0.0,0.3,73.19,0.002519317970238626,73.27
SGDM,128,0.3,0.0,0.3,73.31,0.002247989428192377,73.31
SGDM,128,0.4,0.0,0.3,69.69,0.0029073912477493285,69.8
SGDM,128,0.1,0.0,0.4,73.31,0.00336731956474483,73.6
SGDM,128,0.05,0.0,0.4,72.69,0.004689180934727192,72.86
SGDM,128,0.5,0.0,0.3,72.04,0.0022656662797927857,72.18
SGDM,128,0.25,0.0,0.4,72.41,0.0023216844035685064,72.51
SGDM,128,0.15,0.0,0.4,73.07,0.0028178378795832397,73.17
SGDM,128,0.2,0.0,0.4,73.07,0.0026760593339800833,73.29
SGDM,128,0.3,0.0,0.4,72.77,0.002188898203447461,72.77
SGDM,128,0.5,0.0,0.4,70.95,0.0020646290111914277,71.28
SGDM,128,0.4,0.0,0.4,70.62,0.002410029375627637,70.75
